,Name,Season,% shots 2pt J,% shots at rim,%assisted 2pt J,%assisted 3s,%assisted at rim,%of shots 3pt,2P%,2PA,2PM,3P%,3PA,3PAr,3PM,AST,ATr,A_Score,Age,Agility,Ast/TO,BLK,Born,DEF,D_Score,Drafted,Drafted_x,Drafted_y,FG%,FG% 2pt Jumpers,FG% at rim,FGA,FGM,FGM_z,FT%,FT/FGA,FTA,FTA/FGA,FTM,FTr,GP,Height,IS_Score,League,MIN,Max_Vert,NS_Vert,OFF,OS_Score,PF,PPM,PPS,PTS,P_Score,Pick,STL,Speed,TOV,TOV%,TRB,TS,TS%,Url,WS,WSPredict,WSTOT,Weight,Wingspan,eFG,eFG%,index
20,Aaron Gray,2007.0,,,,,,,0.494289982918,17.7408354825,8.9533171483,0.0,0.0,0.0,0.0,2.93726834182,1.19352897691,6.92717581764,22.06689498,12.07,1.11,2.44449808042,1984.93310502,10.0821863387,1.87252910582,2007.0,2007.0,2007.0,0.500307157129,,,16.9244232346,8.46741004762,0.676254518257,0.548,0.46,10.1886896216,,2.58762471615,0.277813854564,,213.0,8.12122295481,Non-NBA,1016.0,32.5,28.5,5.39727995948,0.652267418613,6.4559861542,1.6036,1.38,19.0171815137,1.95956959945,49.0,0.677482782705,3.7,2.25569214922,11.11,15.5229406207,0.497721930868,0.567,http://basketball.realgm.com/player/Aaron-Gray/Summary/11,,1.40272727273,5.74545454545,122.0,87.0,0.491056992276,0.565,22.0
21,Aaron White,2012.0,20.7,56.7,62.5,100.0,58.3,22.6,0.50463428686,11.7120464671,6.03444915451,0.230339981676,2.80492083383,0.196002890156,0.644482021651,1.71032273375,0.68081863688,,19.3086758,11.62,0.63,1.03903082563,1992.6913242,6.5862100366,,2015.0,,,0.450719191112,28.6,67.3,14.4497901701,6.51543740179,0.676254518257,0.699,0.53,10.0565465245,53.0,3.25808554898,0.321171330993,,206.0,,Non-NBA,832.0,35.0,,3.76200306427,,5.93398772062,1.70908571429,1.45,17.0735939504,,49.0,1.60424717297,3.38,2.30258570286,12.7,10.3794724091,0.509987254019,0.58,http://basketball.realgm.com/player/Aaron-White/Summary/28759,,0.0,,100.0,83.0,0.470023581308,0.541,32.0
22,Aaron White,2013.0,27.8,50.2,44.0,100.0,73.0,22.1,0.474082518241,9.59002354779,4.61418682103,0.199092315265,2.33026961052,0.489372323913,0.474539983028,2.11301812094,1.68230479052,,20.3086758,11.62,0.84,0.930691853912,3985.3826484,5.79833457675,,2015.0,,,0.420220244459,30.1,66.7,11.8654317665,4.96041573287,1.2366845551,0.732020797227,0.86,13.102770334,86.3,4.43893575191,0.499564527265,,206.0,,Non-NBA,1230.93333333,35.0,,3.31874573485,,3.41514153135,3.66263432305,1.63,15.617735869,,49.0,1.57982465951,3.38,2.09601645828,12.64,9.17570209497,1.03907242806,0.579,http://basketball.realgm.com/player/Aaron-White/Summary/28759,,0.0,,100.0,83.0,0.939832175003,0.493,32.0
23,Aaron White,2014.0,28.2,59.2,50.0,100.0,68.8,12.7,0.551796369746,10.5054383161,5.91862884962,0.213002563701,1.24274899039,0.109365547074,0.264413012643,2.88601495303,1.09437222112,,21.3086758,11.62,1.02,0.748316203343,1992.6913242,7.4737717667,,2015.0,,,0.517131645598,37.7,75.2,11.4737741486,5.92911670529,0.676254518257,0.807,0.66,9.8711933267,65.7,3.69263845266,0.397020384585,,206.0,,Non-NBA,928.0,35.0,,2.56095585594,,2.76388101111,1.75755223881,1.73,16.141541232,,49.0,1.44374508605,3.38,2.41714490861,15.51,10.0495225261,0.581185421721,0.659,http://basketball.realgm.com/player/Aaron-White/Summary/28759,,0.0,,100.0,83.0,0.521386982978,0.6,32.0
24,Aaron White,2015.0,32.9,49.1,39.4,95.2,67.5,18.0,0.487750611836,12.376764136,6.16357987142,0.293910514254,2.21680844747,0.155475903122,0.650528852143,2.16392893861,1.25986265456,,22.3086758,11.62,1.17,0.590617025098,1992.6913242,7.56003281345,,2015.0,,,0.46134518383,30.6,72.7,14.3968833954,6.64514562431,0.676254518257,0.819,0.73,13.6765062906,72.6,5.19137591386,0.438385445862,,206.0,,Non-NBA,1070.0,35.0,,2.9897853976,,3.52034344724,1.6263649635,1.7,19.9098401436,,49.0,1.90286284156,3.38,1.57430532084,8.51,10.5696173784,0.55826861986,0.633,http://basketball.realgm.com/player/Aaron-White/Summary/28759,,0.0,,100.0,83.0,0.48085232424,0.553,32.0
25,Aaron White,2016.0,,,,,,,0.511809419381,9.4931335171,4.72215539371,0.323350586748,2.29060183325,0.372117480903,0.708431817317,2.26041826865,1.51489924057,,23.3086758,11.62,1.22,0.378376427758,3985.3826484,6.78649852627,,2015.0,,,0.475232173749,,,11.8755658076,5.51539623794,1.26522490483,0.766759195062,1.06,8.84301078303,,2.19542417457,0.282096763468,,206.0,,Non-NBA,1182.7,35.0,,2.47464486868,,4.08233045082,3.78411948307,3.14,14.3981391704,,49.0,0.993525654623,3.38,1.79099189042,26.53,9.33449634891,1.10661580836,1.273,http://basketball.realgm.com/player/Aaron-White/Summary/28759,,0.0,,100.0,83.0,1.01334770758,1.151,32.0
26,Aaron White,2017.0,,,,,,,0.452054449964,7.04790389014,3.14277514141,0.302755507584,4.95526137143,0.80126383874,1.49040890251,2.5520941226,2.9865899577,,24.3086758,11.62,2.53,0.667539095215,3985.3826484,7.89258955132,,2015.0,,,0.401915212027,,,12.0201693779,4.7037253396,1.34269362818,0.657031352236,0.66,4.8474984949,,1.3354956303,0.190661557985,,206.0,,Non-NBA,1100.4,35.0,,2.81077505538,,4.72216930288,3.92975007767,2.51,12.2373305386,,49.0,1.31415693257,3.38,1.49594895995,21.4,10.4345548519,0.959656295806,1.094,http://basketball.realgm.com/player/Aaron-White/Summary/28759,,0.0,,100.0,83.0,0.911770389478,1.036,32.0
27,Abdel Nader,2015.0,23.5,35.9,46.2,100.0,58.5,40.6,0.467661081686,8.8104908551,4.20687323093,0.179153319082,4.91528996608,0.35082060214,0.880972645646,1.96586409091,0.66894734417,,21.10091324,11.74,0.62,1.11977265578,1993.89908676,5.74953416736,,2016.0,,,0.359512753618,32.5,67.2,14.1471012301,5.08371715271,0.676254518257,0.767,0.25,4.6847947073,25.3,1.66565749218,0.152817309156,,198.0,,Non-NBA,524.0,,25.0,1.75641947886,,6.29655594842,1.75164705882,1.09,12.5826006963,,58.0,0.962055471767,3.33,2.69358526072,16.27,7.51474814863,0.426236850141,0.488,http://basketball.realgm.com/player/Abdel-Nader/Summary/31320,,0.0,,104.0,85.0,0.391040237233,0.45,34.0
28,Abdel Nader,2016.0,29.4,29.1,29.4,96.2,53.3,41.5,0.483970750916,8.09959330942,4.00230719129,0.306294384236,4.70052475155,0.359073252092,1.43943733907,2.17539271301,0.735584366348,,22.10091324,11.74,0.68,0.758675338744,1993.89908676,5.64877506843,,2016.0,,,0.423268709925,34.3,76.5,13.2180288817,5.59083171934,0.676254518257,0.736,0.31,5.44309895616,31.5,1.85560109989,0.190032979849,,198.0,,Non-NBA,1088.0,,25.0,0.978356574543,,5.81670975701,1.78990812721,1.34,14.4116650904,,58.0,1.3981019707,3.33,2.71065564874,16.94,6.62672556946,0.510070890121,0.583,http://basketball.realgm.com/player/Abdel-Nader/Summary/31320,,0.0,,104.0,85.0,0.48219270928,0.555,34.0
29,Acie Law,2004.0,,,,,,,0.397026691885,10.3671671116,4.20250167232,0.178327727749,3.06219246829,0.229590475585,0.544535383707,7.49240506135,2.1522653682,6.28307324488,18.93424658,11.0,2.0,0.0,1985.06575342,3.20800047476,0.892362187664,2007.0,2007.0,2007.0,0.346230262721,,,13.4673461835,4.65753157146,0.676254518257,0.759,0.28,4.95881748797,,1.74428672253,0.169920409164,,191.0,8.44874193301,Non-NBA,625.0,34.0,27.0,0.605634112515,1.25566730902,6.68706996731,1.74235087719,1.05,11.5178414362,2.7575448501,11.0,2.29752391419,3.22,3.19076340155,19.28,3.81400944371,0.405318495988,0.464,http://basketball.realgm.com/player/Acie-Law/Summary/38,,0.635,1.52,92.0,78.0,0.36433725807,0.419,43.0
