,Name,Season,FG% 2pt Jumpers,Max_Vert,NS_Vert,IS_Score,P_Score,D_Score,OS_Score,%assisted at rim,3PA,FGA,FGM,WtHr,FG%,FG% at rim,Height,WHr,%of shots 3pt,3P%,PTS,0,FT%,%assisted 3s,3PM,FTr,FGatRim,FTA,% shots 2pt J,%assisted 2pt J,TOV,FTM,% shots at rim,PF,STL,2ptJUnAssisted,3ptJUnAssisted,RimUnAssisted,TRB,Weight,Agility,DEF,2ptJ,Stocks,RSB,RSB2,OFF,ATr,Speed,BLK,AST,Stocks2,MIN,2P%,2PA,2PM,3PAr,A_Score,Age,Born,Drafted,FGM_z,Pick,Url,WSPredict,WSTOT,Wingspan,Vert_adj,Move_adj,OS,IS,D,P,IS2,OS2
337,Ben McCauley,2016.0,,35.8151808627,30.1084833045,,,,,,4.653278291,15.20409549,5.870997265,0.52427184466,0.269609265101,,2956.65621945,1.02596056298,,0.137363400103,54.0010061512,,0.411830784,,1.13191742372,0.241550901029,,3.49112176405,,,1.44326517527,1.15788657951,,1.99309900406,1.1494688891,,,,2.78718508553,10.3923048454,1.8026367066,2.48727298964,,1.18716636386,3.0294825757,0.950855718344,1.19269541106,1.1248554879,2.22073174452,0.54478582119,1.23793033761,0.58408278554,5.37040544294,0.4982842655,9.939756205,4.512685024,0.3196253511,,29.3196347,1986.680365,2009.0,0.5813171726,,http://basketball.realgm.com/player/Ben-McCauley/Summary/1788,0.0,0.0,209.55,1078.34077505,4.00317255819,1.9486584639,9.98563502464,1.85648409476,2.72202241482,9.98563502464,1.9486584639
338,Ben McLemore,2013.0,0.36,42.0,32.5,15.67656263,4.073960995,2.603166095,3.631984559,0.528,5.378998853,14.53078527,6.38829521,0.448979591837,0.295925930453,0.593208071422,2744.0,1.05560502368,0.286902204592,0.208663398123,73.9610470582,,0.658503,0.754507653376,1.6396811584,0.307605425781,2.41020095877,4.21730670689,0.353553390593,0.569451182301,1.95088349315,1.61726824058,0.561248608016,1.94014965686,1.12381656154,11.408759778,23.0843379452,17.9288566538,2.64151372398,9.38083151965,1.808314132,2.31433284166,1.14357801409,1.45475684941,3.0156114214,2.74228677717,1.19018758242,1.02876309883,2.26239658859,0.961130336169,1.27650419914,1.01889633268,6.38856140555,0.4938651538,8.594347803,4.123727052,0.3751548381,12.59817814,19.88926941,1993.110731,2013.0,0.6534594224,7.0,http://basketball.realgm.com/player/Ben-McLemore/Summary/24188,1.505,2.667021277,203.2,1365.0,4.09112372333,2.65159477437,10.1804012719,1.99830781615,2.81185267853,8.25215883222,1.94040496015
339,Ben Simmons,2016.0,0.329,41.5,37.0,,,,,0.481,0.0896270354,13.55133157,6.735023438,0.524038461538,0.356087938968,0.652118860331,2999.81866119,1.04354321046,0.0007155417528,0.147312191467,78.1005488729,,0.300763,1.0,0.0639943218348,0.561379473475,3.61284253977,7.30411141011,0.547593785127,0.421468684764,2.50166817805,2.04739085912,0.737563556583,2.20235531261,1.46431338074,14.1104436922,2.97877097216,23.4883417768,3.69148328724,10.4403065089,1.8191531696,3.18967940239,1.41327911708,1.74209272153,4.08190346657,5.10145631614,1.52462853955,1.17641628884,2.21023876623,0.97147050028,1.53513720722,1.17556496052,6.35523922816,0.5012408945,14.07566212,6.854628654,0.006702784315,,19.44794521,1996.552055,2016.0,0.6534594224,1.0,http://basketball.realgm.com/player/Ben-Simmons/Summary/41364,0.0,0.0,213.995,1535.5,4.02076285715,1.5450962848,11.1060927154,2.55043995652,3.33056727874,11.1060927154,1.5450962848
340,Ben Uzoh,2007.0,,35.0097491672,29.876165042,4.543793156,1.571242615,0.9005713862,0.6319152354,,3.37888367,12.50185137,4.574886635,0.486910994764,0.224709300276,,2639.67251757,1.11796460105,,0.188148794704,49.7160050512,,0.437245479,,1.09927853335,0.394481141816,,4.83149324222,,,2.40736585203,1.65422871907,,1.98702524292,1.32838280853,,,,2.88444833547,9.64365076099,1.81839145712,2.40485783717,,1.75369531533,3.37572058367,4.38694216945,1.37241767534,0.915905481039,2.23228219135,1.07001027765,1.25380015696,1.23324559367,5.99396142731,0.3762569137,8.930811585,3.264705556,0.273903192,4.19270605,18.78675799,1988.213242,2010.0,0.6534594224,,http://basketball.realgm.com/player/Ben-Uzoh/Summary/8107,0.3265151515,0.653030303,205.74,1045.9570442,4.05916286664,2.13543321927,9.38912399423,2.22108291564,2.79297539934,9.38912399423,2.13543321927
341,Ben Uzoh,2008.0,,33.1088838909,28.1830596674,4.543793156,1.571242615,0.9005713862,0.6319152354,,4.688269738,14.94856236,6.482519873,0.486910994764,0.289670958475,,2639.67251757,1.11796460105,,0.158735625121,73.642170447,,0.523606616,,1.29199201466,0.343090870702,,4.80488628659,,,2.17232455776,1.69836912507,,1.80753576037,1.13398480942,,,,2.72803887619,9.64365076099,1.83720266,2.29801596927,,1.49737090332,3.11196332435,3.02504419675,1.30286541473,1.03178704892,2.24878056715,0.988864909979,1.32602705328,1.05302961335,6.4441312567,0.5078622837,9.881377724,4.875644863,0.3178420462,4.19270605,19.78675799,1988.213242,2010.0,0.6534594224,,http://basketball.realgm.com/player/Ben-Uzoh/Summary/8107,0.3265151515,0.653030303,205.74,933.109650219,4.13146563971,2.21724811949,10.3841807313,2.05070055312,2.91662219403,10.3841807313,2.21724811949
342,Ben Uzoh,2009.0,,32.5507806622,27.703165581,4.543793156,1.571242615,0.9005713862,0.6319152354,,3.628956583,13.49230458,5.24657916,0.486910994764,0.246312464239,,2639.67251757,1.11796460105,,0.14400683499,55.0917659537,,0.494913671,,1.01452921664,0.349689028934,,4.5349342075,,,2.1836237303,1.61912847545,,1.97088559358,1.33176106829,,,,2.47375195563,9.64365076099,1.84293883751,2.27799682375,,1.53778522258,2.91277052457,2.53307560858,1.00205941909,1.16343115783,2.24493916894,0.876865218467,1.45482735927,1.0119195845,6.46380918406,0.436307415,9.660022792,4.094862727,0.2725798955,4.19270605,20.78675799,1988.213242,2010.0,0.6534594224,,http://basketball.realgm.com/player/Ben-Uzoh/Summary/8107,0.3265151515,0.653030303,205.74,901.759666476,4.1372855823,1.9888596869,9.88544641973,2.06858120768,3.16284655186,9.88544641973,1.9888596869
343,Ben Uzoh,2010.0,,32.7535418002,27.9175912968,4.543793156,1.571242615,0.9005713862,0.6319152354,,4.387804248,14.53092105,5.892459596,0.486910994764,0.262512219269,,2639.67251757,1.11796460105,,0.153997446634,63.1364994494,,0.447697125,,1.20915944801,0.330498474194,,4.5312048598,,,1.99641136243,1.59097687664,,1.80246073522,1.07328120966,,,,2.42479797653,9.64365076099,1.84331427842,2.17478422447,,1.42577072354,2.8129108381,2.4425858034,1.06694402463,1.32422867289,2.24817764303,0.968791613904,1.55750046394,1.00366119656,6.39859493454,0.4636254106,9.813791735,4.420512985,0.3060217441,4.19270605,21.78675799,1988.213242,2010.0,0.6534594224,,http://basketball.realgm.com/player/Ben-Uzoh/Summary/8107,0.3265151515,0.653030303,205.74,914.3999935,4.14409794984,2.06950440794,10.0004102263,1.94485805033,3.3537833173,10.0004102263,2.06950440794
344,Bernard James,2011.0,,32.5,30.0,4.724411369,1.003905412,1.127297306,0.2957198481,,0.0,10.44506387,6.097722449,0.5,0.452504891062,,2999.81866119,1.09505126549,,0.0,53.2751332844,,0.128024064,,0.0,0.498831723584,,5.33902274596,,,2.02202861101,1.44128027462,,2.22144569706,1.26451669305,,,,3.43503595905,10.1980390272,1.84390889146,2.75280012696,,2.47392800744,4.23317750939,9.23609409427,1.61955630271,0.571900357127,2.26050806993,1.45819715654,0.827998462793,1.63975336377,5.88471417716,0.5869115684,10.93418688,6.234875195,0.0,4.378518293,25.90022831,1985.099772,2012.0,0.6534594224,33.0,http://basketball.realgm.com/player/Bernard-James/Summary/23527,0.84,1.79,220.98,975.0,4.16817092935,1.19664020361,10.7599200701,2.47042644914,1.96719133722,10.7599200701,1.19664020361
345,Bernard James,2012.0,0.391,32.5,30.0,4.724411369,1.003905412,1.127297306,0.2957198481,0.614,0.0,11.41334149,6.144738327,0.5,0.40085209676,0.557035665824,2999.81866119,1.09505126549,0.0,0.0,50.8035124085,,0.168196608,,0.0,0.374109157672,3.7462550588,4.27939454873,0.35036661308,0.54024344656,2.16654842588,1.30083855109,0.867755725997,2.12132455579,1.03758388239,10.475763979,,24.0469961692,3.53837130188,10.1980390272,1.84390889146,2.81624495863,1.04988869938,2.11469832175,4.12213785092,6.76503565636,1.6641845016,0.634488600633,2.26050806993,1.35744341329,0.916626728358,1.38271712929,6.19338446197,0.5412609541,11.94780715,6.282948575,0.0,4.378518293,26.90022831,1985.099772,2012.0,0.6534594224,33.0,http://basketball.realgm.com/player/Bernard-James/Summary/23527,0.84,1.79,220.98,975.0,4.16817092935,1.20898933038,10.6216654819,2.31984843884,2.14356417023,7.16694339698,0.90453641006
346,Bernard James,2015.0,,32.5,30.0,4.724411369,1.003905412,1.127297306,0.2957198481,,0.0826604883,14.67972687,7.126765231,0.5,0.351363516117,,2999.81866119,1.09505126549,,0.0,65.5543513213,,0.225866529,,0.0,0.363177537819,,5.07598810786,,,2.24818555029,1.48987450344,,2.32750771148,1.10959331108,,,,3.59031095171,10.1980390272,1.84390889146,2.87233986203,,1.86582864915,4.04618947629,5.97583585455,1.63913798261,0.725767761078,2.26050806993,1.22476109649,1.02389564803,1.29012947634,5.96499222678,0.4959218062,14.25738016,6.798349698,0.005676466446,4.378518293,29.90022831,1985.099772,2012.0,0.5223801077,33.0,http://basketball.realgm.com/player/Bernard-James/Summary/23527,0.84,1.79,220.98,975.0,4.16817092935,1.287950426,10.8004660818,2.2619610728,2.35124277496,10.8004660818,1.287950426
347,Bernard James,2016.0,,32.5,30.0,4.724411369,1.003905412,1.127297306,0.2957198481,,0.05808804723,11.17043833,4.904894729,0.5,0.25708383066,,2999.81866119,1.09505126549,,0.0,40.0012565165,,0.238772235818,,0.0,0.339269990333,,4.19187049786,,,1.9338272102,1.39678988971,,2.43575772523,0.735680242769,,,,3.50137345623,10.1980390272,1.84390889146,2.811790853,,1.39558258752,3.76925282232,3.0548217151,1.60597525372,0.724251411602,2.26050806993,1.08900323676,0.998889008317,0.934057725994,6.9679092018,0.4022240862,10.85434966,4.679395493,0.004701459566,4.378518293,30.90022831,1985.099772,2012.0,0.5255933432,33.0,http://basketball.realgm.com/player/Bernard-James/Summary/23527,0.84,1.79,220.98,975.0,4.16817092935,1.21973871447,9.72970107878,1.8744842967,2.27583128933,9.72970107878,1.21973871447
348,Bernard Robinson,2003.0,,34.5,28.5,11.45742827,2.996075212,2.51588334,1.460498351,,1.619929916,12.81440192,5.113304288,0.479797979798,0.25564937481,,2786.10696134,1.07888105773,,0.152652495525,46.6627043146,,0.578009537,,0.571193704573,0.309493322692,,3.86144115484,,,2.87424937024,1.49285116539,,2.3170538727,1.28755694903,,,,2.8591614122,9.74679434481,1.78044938148,2.49636948768,,1.57692876995,3.26519652188,3.35163386793,1.26277902534,1.04014607424,2.20030136252,0.954169927122,1.46467197838,1.08270202288,6.14525802029,0.4179570289,11.42174642,4.638021417,0.1281138461,9.850371234,22.01484018,1980.98516,2004.0,0.6534594224,45.0,http://basketball.realgm.com/player/Bernard-Robinson/Summary/400,0.83,1.69,208.28,983.25,3.91752519997,1.99485992131,10.1365742141,2.07487459547,3.21901596442,10.1365742141,1.99485992131
349,Bernard Robinson,2004.0,,34.5,28.5,11.45742827,2.996075212,2.51588334,1.460498351,,2.197641327,13.78636657,5.293004942,0.479797979798,0.241268621897,,2786.10696134,1.07888105773,,0.102807376571,49.3094004373,,0.456533,,0.58785794515,0.311998450614,,4.1121048991,,,2.40377570614,1.49692826448,,2.23870029124,1.52137416601,,,,2.77682652231,9.74679434481,1.78044938148,2.52648071416,,1.63948119953,3.22469597615,2.58121974632,1.12263107781,1.16939896928,2.20030136252,0.781663974103,1.50799598143,0.964135590801,6.30536246169,0.42112337,11.72856416,4.798691085,0.1615493357,9.850371234,23.01484018,1980.98516,2004.0,0.6534594224,45.0,http://basketball.realgm.com/player/Bernard-Robinson/Summary/400,0.83,1.69,208.28,983.25,3.91752519997,1.83684789866,10.0616968248,2.17980965017,3.27417610816,10.0616968248,1.83684789866
350,Bernard Robinson,2012.0,,34.5,28.5,11.45742827,2.996075212,2.51588334,1.460498351,,2.656866591,10.4691128,3.879689177,0.479797979798,0.212277692902,,2786.10696134,1.07888105773,,0.139016601942,29.4428919376,,0.293276394615,,0.852666099096,0.230110631208,,2.90361205216,,,1.77836235197,1.01277829361,,2.21684973374,1.17498167347,,,,2.36962345954,9.74679434481,1.78044938148,2.111790089,,1.27470530418,2.69072275653,1.37614682111,1.02590288044,1.10537968827,2.20030136252,0.70303535983,1.33408457529,0.762066227195,7.19923014967,0.3916309726,7.491930548,2.937894794,0.2305206243,9.850371234,31.01484018,1980.98516,2004.0,0.5464468557,45.0,http://basketball.realgm.com/player/Bernard-Robinson/Summary/400,0.83,1.69,208.28,983.25,3.91752519997,1.87632955217,8.96076707984,1.72195575687,2.90742903873,8.96076707984,1.87632955217
351,Bernard Robinson,2013.0,,34.5,28.5,11.45742827,2.996075212,2.51588334,1.460498351,,3.162687057,12.61527832,3.689046681,0.479797979798,0.188456992032,,2786.10696134,1.07888105773,,0.0863257548894,24.1364477653,,0.447697125,,0.690263571482,0.156319335086,,2.24032309964,,,1.52188440988,0.761555143177,,2.16638790132,1.25410296188,,,,2.39547547535,9.74679434481,1.78044938148,1.84802148175,,1.44811336524,2.79916685312,2.17519145575,1.35841284337,1.0568612561,2.20030136252,0.850915202936,1.2137971191,0.952912183889,5.07454861984,0.3784306687,9.241122898,2.918107214,0.2611849146,9.850371234,32.01484018,1980.98516,2004.0,0.5093694639,45.0,http://basketball.realgm.com/player/Bernard-Robinson/Summary/400,0.83,1.69,208.28,983.25,3.91752519997,1.67797100883,9.04885946328,1.75185915331,2.6720870627,9.04885946328,1.67797100883
352,Billy White,2008.0,,36.8230399816,30.5,,,,,,0.07701503531,8.688076616,4.742366499,0.527093596059,0.409815044112,,2892.3047903,1.07752026608,,0.0,33.5217276478,,0.264609288,,0.0,0.310248614623,,2.89219095572,,,1.73826178421,1.08049390836,,2.67117287179,1.41364432726,,,,2.97109283934,10.3440804328,1.79164728672,2.35956074429,,1.74967535246,3.44800761296,4.33029623588,1.48644684923,0.904352574157,2.34543302024,1.01538469987,1.11406259266,1.20725966913,6.15803774693,0.5545429862,9.000184383,4.849033962,0.008983592867,,18.93150685,1989.068493,2011.0,0.6534594224,,http://basketball.realgm.com/player/Billy-White/Summary/9900,0.0,0.0,213.36,1123.10271944,4.20218870688,1.31823793402,10.1212650763,2.02675973083,2.49153894828,10.1212650763,1.31823793402
353,Billy White,2009.0,,33.4648485673,30.5,,,,,,0.05080517191,11.16416951,6.575021752,0.527093596059,0.458717718929,,2892.3047903,1.07752026608,,0.0,54.3923682794,,0.296740963,,0.0,0.312900615302,,3.5204697326,,,1.89273349138,1.25543905308,,2.64445297273,1.33982296032,,,,2.74325001686,10.3440804328,1.79164728672,2.11951033189,,1.80379186355,3.28315180002,4.43886469727,1.44978503758,0.873658785918,2.34543302024,1.09895409188,1.11653875029,1.27204729388,5.91620206261,0.5952721321,11.62446976,6.72291013,0.004611897942,,19.93150685,1989.068493,2011.0,0.6534594224,,http://basketball.realgm.com/player/Billy-White/Summary/9900,0.0,0.0,213.36,1020.6778813,4.20218870688,1.41072909244,11.0176649298,1.92132735515,2.50362179329,11.0176649298,1.41072909244
354,Billy White,2010.0,,34.2215314397,30.5,,,,,,0.9243017555,12.15455983,6.293360846,0.527093596059,0.378249232513,,2892.3047903,1.07752026608,,0.117252305186,58.5461608211,,0.252435968,,0.328066895372,0.405012260105,,4.85676374508,,,2.2908734659,1.5154040194,,2.4771104503,1.26640517253,,,,2.65272879202,10.3440804328,1.79164728672,1.9323782091,,1.66438247257,3.13163520529,3.62816353021,1.48840281155,0.9113715596,2.34543302024,1.03922757862,1.22861346822,1.16949131568,6.09017802004,0.5465933362,11.58672072,6.153092929,0.07706775838,,20.93150685,1989.068493,2011.0,0.6534594224,,http://basketball.realgm.com/player/Billy-White/Summary/9900,0.0,0.0,213.36,1043.75670891,4.20218870688,1.63019830461,10.7111490137,1.8055407062,2.73837755174,10.7111490137,1.63019830461
355,Billy White,2011.0,,33.892543408,30.5,,,,,,1.056797046,12.75282482,6.363222146,0.527093596059,0.357997255152,,2892.3047903,1.07752026608,,0.156022232629,55.2928170037,,0.392223168,,0.418888726649,0.281907489231,,3.50457848483,,,1.96178689148,1.31129401737,,2.71808051886,1.30592845172,,,,2.75634667141,10.3440804328,1.79164728672,2.09072104811,,1.70798583191,3.24263204434,3.96243991828,1.47866268931,1.03518581439,2.34543302024,1.04919142823,1.28492197469,1.1989868658,6.17065621089,0.5224068711,12.05001445,6.115965833,0.08398145242,,21.93150685,1989.068493,2011.0,0.6534594224,,http://basketball.realgm.com/player/Billy-White/Summary/9900,0.0,0.0,213.36,1033.72257394,4.20218870688,1.78551985487,10.7066978842,1.83676798901,2.82843152928,10.7066978842,1.78551985487
356,Billy White,2014.0,,33.965742466,30.5,,,,,,2.775628397,14.49085207,5.781926478,0.527093596059,0.230630324348,,2892.3047903,1.07752026608,,0.0853777441644,45.1226018027,,0.0939966793165,,0.691761021516,0.180790843709,,2.91458796874,,,1.72944959111,0.818316646537,,2.42588387067,1.18256162546,,,,2.84804718641,10.3440804328,1.79164728672,2.26137560171,,1.58576297851,3.25975719955,3.5582827809,1.39218193351,0.898549881338,2.34543302024,1.0278618529,1.14457232936,1.11775504645,6.36302810354,0.429267936,11.35374837,4.91828699,0.1693661295,,24.93150685,1989.068493,2011.0,0.4881023358,,http://basketball.realgm.com/player/Billy-White/Summary/9900,0.0,0.0,213.36,1035.95514521,4.20218870688,1.54566486506,9.56230941145,1.90467210447,2.53768274367,9.56230941145,1.54566486506
