,Name,Season,OBPM,DBPM,BPM
5045,David Hanson,2012,2.1,0.3,2.4
5046,David Hicks,2011,1.4,-0.9,0.5
5047,David Howard,2014,-7.7,-3.3,-10.9
5048,David Howard,2016,-3.1,1.9,-1.2
5049,David Howard,2017,-0.7,1.0,0.3
5050,David Humphries,2015,1.0,-0.6,0.4
5051,David Humphries,2016,0.7,-1.0,-0.3
5052,David Imes,2011,-1.1,0.1,-1.0
5053,David Imes,2012,-1.5,3.1,1.6
5054,David Imes,2013,-2.9,0.7,-2.3
5055,David Jackson,2011,2.7,0.8,3.4
5056,David Jesperson,2014,-1.1,1.9,0.8
5057,David Jesperson,2015,-2.7,1.7,-1.0
5058,David Jesperson,2017,-2.0,0.4,-1.6
5059,David Jeune,2011,-2.4,0.5,-1.9
5060,David Jeune,2012,-1.9,0.5,-1.3
5061,David Jeune,2013,-2.2,0.1,-2.1
5062,David Joseph,2015,-3.5,0.7,-2.8
5063,David Joseph,2016,-1.9,0.8,-1.1
5064,David Kadiri,2014,-5.9,-1.1,-6.9
5065,David Kadiri,2016,-1.2,0.8,-0.4
5066,David Kadiri,2017,-0.1,1.6,1.5
5067,David Knudsen,2016,-2.6,-4.7,-7.3
5068,David Knudsen,2017,-3.3,-3.0,-6.3
5069,David Kravish,2012,2.2,4.5,6.8
5070,David Kravish,2013,0.8,5.3,6.1
5071,David Kravish,2014,1.1,5.0,6.1
5072,David Kravish,2015,-1.0,3.4,2.4
5073,David Kyles,2011,5.1,1.0,6.2
5074,David Kyles,2012,5.0,2.8,7.9
5075,David Laury,2014,0.7,0.9,1.7
5076,David Laury,2015,0.4,0.4,0.8
5077,David Levitch,2017,3.2,2.8,6.1
5078,David Lighty,2011,6.5,4.8,11.4
5079,David Loubeau,2011,0.3,0.5,0.8
5080,David Loubeau,2012,-0.3,0.7,0.4
5081,David Minaya,2011,-2.1,-2.2,-4.2
5082,David Minaya,2012,-3.4,-4.2,-7.6
5083,David Ndoumba,2011,-1.5,1.4,-0.1
5084,David Nichols,2017,0.3,-1.3,-1.1
5085,David Nwaba,2014,2.7,1.8,4.5
5086,David Nwaba,2015,-0.5,2.1,1.6
5087,David Nwaba,2016,2.3,1.3,3.6
